Variable:,tasmin
,Albania,Berat,Bulqize,Delvine,Devoll,Diber,Durres,Elbasan,Fier,Gjirokaster,Gramsh,Has,Kavaje,Kolonje,Korce,Kruje,Kucove,Kukes,Kurbin,Lezhe,Librazhd,Lushnje,"Malesi E Madhe",Mallakaster,Mat,Mirdite,Peqin,Permet,Pogradec,Puke,Sarande,Shkoder,Skrapar,Tepelene,Tirane,Tropoje,Vlore
1935,6.10,8.24,4.59,8.49,4.06,4.30,9.03,6.42,10.28,6.01,4.81,3.37,8.96,3.86,4.25,8.70,10.18,3.59,8.68,8.71,4.61,9.94,4.24,9.72,6.08,6.67,8.73,4.56,4.26,3.81,9.12,4.55,4.75,7.61,8.02,2.84,9.29
1936,6.56,8.61,5.12,8.81,4.55,4.90,9.53,6.89,10.62,6.36,5.23,3.97,9.45,4.27,4.72,9.22,10.53,4.19,9.20,9.23,5.10,10.32,4.77,10.07,6.63,7.22,9.24,4.92,4.75,4.37,9.43,5.07,5.16,7.93,8.53,3.42,9.60
1937,6.67,8.75,5.20,9.02,4.71,4.89,9.61,7.01,10.76,6.55,5.37,4.01,9.54,4.45,4.88,9.28,10.67,4.20,9.24,9.27,5.23,10.45,4.83,10.22,6.66,7.24,9.32,5.10,4.90,4.42,9.64,5.14,5.31,8.13,8.61,3.47,9.79
1938,6.19,8.25,4.74,8.46,4.15,4.48,9.16,6.52,10.26,5.98,4.86,3.57,9.08,3.89,4.32,8.85,10.17,3.78,8.85,8.88,4.74,9.96,4.41,9.71,6.25,6.84,8.86,4.53,4.35,4.00,9.09,4.72,4.78,7.58,8.15,3.03,9.25
1939,6.34,8.41,4.89,8.66,4.35,4.57,9.29,6.69,10.42,6.18,5.03,3.66,9.22,4.11,4.51,8.96,10.33,3.88,8.93,8.96,4.91,10.11,4.51,9.88,6.34,6.92,9.00,4.73,4.53,4.08,9.28,4.81,4.96,7.78,8.29,3.12,9.45
1940,5.11,7.35,3.58,7.68,3.26,3.22,7.91,5.47,9.31,5.21,4.02,2.20,7.88,3.14,3.43,7.56,9.24,2.49,7.44,7.47,3.64,8.97,2.91,8.80,4.95,5.49,7.70,3.76,3.44,2.60,8.30,3.27,3.96,6.79,6.99,1.63,8.42
1941,5.64,7.86,4.18,8.11,3.68,3.77,8.59,6.06,9.87,5.65,4.48,2.71,8.55,3.47,3.88,8.24,9.78,3.01,8.15,8.18,4.24,9.54,3.53,9.31,5.57,6.13,8.35,4.20,3.89,3.17,8.73,3.90,4.42,7.22,7.64,2.16,8.87
1942,5.83,8.08,4.34,8.34,3.76,3.91,8.80,6.25,10.11,5.88,4.67,2.82,8.75,3.57,3.98,8.45,10.01,3.13,8.38,8.41,4.41,9.76,3.70,9.54,5.76,6.32,8.54,4.41,4.00,3.31,8.96,4.07,4.62,7.46,7.83,2.29,9.13
1943,6.43,8.55,4.96,8.80,4.30,4.67,9.46,6.80,10.61,6.31,5.16,3.68,9.41,4.10,4.51,9.13,10.48,3.93,9.06,9.09,4.97,10.28,4.55,10.02,6.45,7.04,9.21,4.84,4.55,4.13,9.42,4.86,5.09,7.92,8.48,3.14,9.61
1944,6.07,8.16,4.62,8.38,4.11,4.38,8.99,6.40,10.18,5.92,4.77,3.41,8.94,3.90,4.27,8.67,10.09,3.66,8.61,8.64,4.61,9.86,4.19,9.62,6.09,6.66,8.74,4.49,4.30,3.81,9.00,4.50,4.70,7.48,8.02,2.86,9.14
1945,6.31,8.45,4.82,8.63,4.23,4.57,9.30,6.65,10.52,6.13,5.01,3.63,9.25,4.00,4.43,8.95,10.41,3.86,8.87,8.90,4.81,10.19,4.48,9.93,6.31,6.89,9.04,4.66,4.45,4.06,9.25,4.78,4.92,7.75,8.31,3.10,9.47
1946,6.76,8.85,5.33,9.00,4.77,5.08,9.66,7.10,10.83,6.52,5.49,4.21,9.61,4.55,4.95,9.33,10.75,4.41,9.27,9.30,5.33,10.53,4.99,10.28,6.78,7.34,9.41,5.08,4.97,4.60,9.62,5.28,5.38,8.11,8.70,3.67,9.78
1947,6.83,8.93,5.36,9.19,4.84,5.08,9.77,7.17,10.96,6.72,5.52,4.15,9.73,4.59,5.02,9.43,10.87,4.38,9.35,9.38,5.36,10.65,4.90,10.40,6.81,7.38,9.53,5.28,5.03,4.54,9.82,5.23,5.47,8.28,8.81,3.58,9.94
1948,6.08,8.20,4.60,8.31,4.00,4.41,9.06,6.41,10.25,5.85,4.76,3.49,9.01,3.69,4.21,8.71,10.16,3.71,8.64,8.67,4.56,9.93,4.36,9.67,6.11,6.69,8.80,4.40,4.22,3.90,8.93,4.62,4.67,7.44,8.07,2.96,9.15
1949,6.01,8.12,4.49,8.22,3.84,4.32,9.03,6.31,10.19,5.76,4.64,3.42,8.97,3.51,4.06,8.69,10.09,3.63,8.63,8.66,4.44,9.87,4.41,9.60,6.04,6.65,8.76,4.31,4.09,3.85,8.84,4.60,4.56,7.38,8.01,2.91,9.10
1950,6.63,8.70,5.16,8.86,4.56,4.93,9.58,6.95,10.70,6.40,5.30,4.08,9.52,4.29,4.76,9.26,10.63,4.26,9.22,9.25,5.14,10.41,4.96,10.16,6.66,7.25,9.31,4.96,4.78,4.48,9.48,5.20,5.22,7.99,8.59,3.55,9.66
1951,6.90,9.02,5.41,9.18,4.82,5.19,9.86,7.22,11.04,6.71,5.58,4.26,9.79,4.60,5.00,9.55,10.97,4.49,9.52,9.55,5.40,10.74,5.11,10.49,6.93,7.53,9.58,5.26,5.03,4.68,9.79,5.39,5.50,8.32,8.86,3.72,10.00
1952,6.74,8.87,5.23,9.13,4.79,4.94,9.66,7.07,10.88,6.68,5.50,3.96,9.60,4.59,4.96,9.32,10.79,4.22,9.26,9.29,5.25,10.56,4.81,10.34,6.69,7.27,9.39,5.24,4.97,4.39,9.74,5.11,5.44,8.27,8.67,3.42,9.92
1953,5.82,7.95,4.31,8.19,3.78,4.06,8.77,6.14,10.00,5.71,4.49,3.16,8.71,3.56,3.96,8.44,9.92,3.37,8.38,8.41,4.31,9.68,4.00,9.45,5.80,6.39,8.50,4.26,3.97,3.56,8.82,4.27,4.44,7.30,7.77,2.61,8.97
1954,5.83,8.06,4.28,8.45,3.93,3.84,8.76,6.22,10.00,5.96,4.77,2.88,8.75,3.79,4.12,8.35,9.93,3.13,8.18,8.21,4.36,9.70,3.74,9.49,5.64,6.18,8.55,4.50,4.12,3.32,9.08,4.04,4.71,7.49,7.82,2.35,9.12
1955,6.48,8.65,4.95,8.98,4.57,4.58,9.42,6.84,10.62,6.51,5.33,3.61,9.39,4.36,4.75,9.03,10.53,3.86,8.89,8.92,5.00,10.31,4.45,10.09,6.35,6.90,9.19,5.06,4.75,4.03,9.60,4.75,5.27,8.08,8.46,3.07,9.72
1956,5.42,7.63,3.88,7.92,3.56,3.56,8.33,5.76,9.59,5.45,4.27,2.51,8.28,3.34,3.74,7.98,9.53,2.81,7.91,7.94,3.92,9.28,3.34,9.08,5.33,5.90,8.07,4.00,3.73,2.96,8.54,3.68,4.21,7.02,7.35,1.97,8.67
1957,6.29,8.42,4.79,8.66,4.25,4.53,9.22,6.61,10.45,6.16,4.96,3.61,9.16,4.04,4.42,8.90,10.38,3.84,8.85,8.88,4.79,10.14,4.49,9.90,6.28,6.86,8.95,4.70,4.44,4.04,9.29,4.76,4.90,7.74,8.23,3.08,9.41
1958,6.52,8.64,4.99,8.97,4.55,4.75,9.43,6.81,10.66,6.47,5.23,3.78,9.37,4.38,4.71,9.10,10.57,4.03,9.06,9.09,4.98,10.33,4.64,10.11,6.49,7.07,9.15,5.01,4.71,4.22,9.61,4.94,5.18,8.02,8.43,3.25,9.67
1959,5.75,7.88,4.24,8.14,3.75,3.96,8.67,6.07,9.92,5.65,4.44,3.06,8.61,3.52,3.92,8.33,9.83,3.28,8.28,8.31,4.25,9.59,3.90,9.37,5.71,6.29,8.39,4.19,3.94,3.46,8.76,4.17,4.38,7.25,7.67,2.51,8.92
1960,6.57,8.69,5.04,9.00,4.66,4.74,9.48,6.89,10.68,6.54,5.35,3.76,9.43,4.43,4.84,9.14,10.58,4.02,9.08,9.11,5.06,10.36,4.62,10.15,6.50,7.08,9.22,5.09,4.84,4.19,9.62,4.91,5.29,8.14,8.50,3.22,9.78
1961,6.34,8.44,4.85,8.69,4.38,4.57,9.26,6.67,10.46,6.22,5.03,3.67,9.20,4.15,4.54,8.94,10.37,3.89,8.88,8.91,4.87,10.14,4.44,9.92,6.31,6.89,9.00,4.77,4.56,4.05,9.31,4.73,4.97,7.84,8.29,3.11,9.49
1962,6.33,8.48,4.75,9.03,4.53,4.36,9.19,6.66,10.46,6.53,5.16,3.41,9.17,4.45,4.66,8.84,10.37,3.66,8.71,8.74,4.82,10.13,4.17,9.95,6.15,6.70,8.98,5.07,4.64,3.80,9.67,4.48,5.15,8.04,8.26,2.84,9.62
1963,6.50,8.67,4.95,9.16,4.67,4.58,9.39,6.84,10.65,6.67,5.29,3.56,9.37,4.58,4.80,9.03,10.58,3.84,8.90,8.93,5.00,10.34,4.36,10.15,6.35,6.91,9.18,5.22,4.78,3.98,9.80,4.67,5.29,8.18,8.46,3.00,9.76
1964,6.06,8.20,4.55,8.53,4.08,4.21,8.99,6.41,10.26,6.08,4.77,3.26,8.95,3.93,4.24,8.63,10.14,3.50,8.53,8.56,4.60,9.91,4.09,9.69,5.97,6.53,8.75,4.65,4.25,3.68,9.15,4.39,4.75,7.66,8.03,2.71,9.30
1965,5.66,7.82,4.09,8.19,3.73,3.73,8.57,5.98,9.83,5.71,4.43,2.84,8.52,3.54,3.90,8.19,9.75,3.05,8.09,8.12,4.14,9.51,3.72,9.31,5.52,6.08,8.30,4.25,3.90,3.26,8.82,4.01,4.39,7.28,7.58,2.31,8.91
1966,6.64,8.77,5.13,9.06,4.72,4.82,9.49,6.96,10.73,6.62,5.43,3.91,9.42,4.54,4.88,9.16,10.66,4.14,9.13,9.16,5.16,10.41,4.76,10.22,6.57,7.15,9.19,5.19,4.89,4.33,9.68,5.05,5.38,8.20,8.49,3.38,9.80
1967,5.93,8.09,4.41,8.40,4.01,4.06,8.81,6.27,10.07,5.91,4.66,3.19,8.78,3.84,4.16,8.46,10.03,3.40,8.36,8.39,4.46,9.78,3.99,9.58,5.82,6.38,8.58,4.45,4.16,3.58,9.03,4.28,4.62,7.50,7.87,2.64,9.15
1968,6.22,8.36,4.73,8.70,4.28,4.36,9.12,6.58,10.35,6.25,5.00,3.40,9.08,4.09,4.45,8.76,10.26,3.64,8.67,8.70,4.77,10.03,4.26,9.83,6.13,6.69,8.87,4.81,4.45,3.83,9.31,4.56,4.96,7.85,8.16,2.88,9.46
1969,6.26,8.41,4.75,8.83,4.36,4.34,9.13,6.61,10.41,6.38,5.05,3.35,9.08,4.15,4.54,8.78,10.31,3.60,8.69,8.72,4.81,10.07,4.22,9.88,6.13,6.68,8.88,4.93,4.54,3.78,9.45,4.52,5.04,7.95,8.18,2.80,9.55
1970,6.12,8.23,4.57,8.62,4.20,4.27,9.01,6.41,10.23,6.15,4.84,3.29,8.95,4.01,4.36,8.65,10.15,3.54,8.58,8.61,4.60,9.91,4.22,9.72,6.02,6.59,8.73,4.70,4.36,3.75,9.24,4.50,4.82,7.73,8.01,2.78,9.35
1971,6.10,8.24,4.64,8.30,4.04,4.34,9.11,6.47,10.28,5.90,4.82,3.34,9.05,3.78,4.24,8.75,10.18,3.60,8.69,8.72,4.66,9.96,4.29,9.71,6.11,6.69,8.82,4.48,4.27,3.81,8.89,4.58,4.74,7.57,8.10,2.83,9.26
1972,6.37,8.54,4.92,8.59,4.34,4.62,9.38,6.76,10.57,6.16,5.14,3.62,9.33,4.04,4.56,9.03,10.47,3.88,8.95,8.98,4.94,10.25,4.52,9.99,6.38,6.96,9.12,4.74,4.59,4.07,9.18,4.81,5.04,7.81,8.40,3.09,9.51
1973,6.01,8.21,4.53,8.44,4.10,4.08,8.96,6.43,10.24,5.96,4.81,3.15,8.95,3.89,4.29,8.58,10.14,3.38,8.43,8.46,4.62,9.91,3.97,9.68,5.88,6.43,8.76,4.51,4.31,3.55,9.06,4.27,4.74,7.59,8.04,2.59,9.27
1974,5.81,7.97,4.35,8.07,3.81,4.07,8.81,6.18,10.04,5.58,4.51,3.14,8.75,3.51,3.99,8.46,9.93,3.37,8.40,8.43,4.36,9.70,3.97,9.44,5.82,6.41,8.53,4.12,4.02,3.55,8.69,4.26,4.41,7.19,7.81,2.60,8.92
1975,5.77,7.87,4.34,8.03,3.77,4.03,8.73,6.13,9.91,5.53,4.46,3.16,8.67,3.51,3.95,8.39,9.80,3.36,8.33,8.36,4.36,9.58,3.96,9.33,5.78,6.35,8.45,4.07,3.98,3.54,8.65,4.23,4.36,7.15,7.74,2.60,8.85
1976,5.46,7.56,3.99,7.81,3.49,3.63,8.43,5.82,9.59,5.36,4.19,2.68,8.37,3.30,3.66,8.08,9.48,2.91,8.02,8.05,4.03,9.27,3.56,9.02,5.42,6.00,8.16,3.92,3.68,3.12,8.43,3.86,4.13,6.93,7.45,2.15,8.60
1977,5.95,8.03,4.48,8.29,4.03,4.19,8.87,6.28,10.04,5.78,4.66,3.32,8.81,3.78,4.19,8.51,9.95,3.53,8.45,8.48,4.50,9.73,4.19,9.50,5.92,6.48,8.58,4.31,4.21,3.73,8.92,4.45,4.57,7.38,7.87,2.80,9.06
1978,5.34,7.43,3.84,7.78,3.47,3.54,8.25,5.66,9.44,5.27,4.07,2.62,8.19,3.29,3.60,7.92,9.34,2.85,7.86,7.89,3.86,9.12,3.46,8.89,5.29,5.87,7.98,3.82,3.60,3.03,8.41,3.75,4.01,6.82,7.27,2.07,8.48
1979,6.43,8.51,5.00,8.68,4.42,4.73,9.41,6.79,10.54,6.21,5.13,3.77,9.35,4.19,4.59,9.11,10.43,4.01,9.08,9.11,5.00,10.22,4.60,9.96,6.49,7.08,9.14,4.77,4.61,4.20,9.30,4.91,5.04,7.82,8.43,3.23,9.51
1980,5.52,7.63,4.03,7.95,3.60,3.70,8.38,5.85,9.62,5.47,4.28,2.77,8.33,3.44,3.76,8.08,9.53,3.01,8.02,8.05,4.06,9.29,3.57,9.09,5.46,6.03,8.14,4.03,3.77,3.17,8.58,3.87,4.22,7.06,7.43,2.21,8.70
1981,5.77,7.88,4.28,8.14,3.85,3.95,8.63,6.11,9.83,5.66,4.53,3.13,8.57,3.65,4.01,8.32,9.78,3.32,8.27,8.30,4.32,9.54,3.93,9.32,5.71,6.28,8.38,4.21,4.03,3.51,8.78,4.21,4.45,7.19,7.68,2.58,8.83
1982,6.41,8.57,4.96,8.65,4.35,4.67,9.37,6.78,10.57,6.19,5.14,3.76,9.31,4.00,4.57,9.08,10.51,3.98,9.06,9.09,4.97,10.27,4.60,10.03,6.45,7.04,9.11,4.73,4.61,4.17,9.26,4.89,5.04,7.82,8.39,3.21,9.53
1983,5.92,8.03,4.47,8.13,3.85,4.24,8.90,6.27,10.01,5.66,4.62,3.29,8.83,3.54,4.06,8.58,9.97,3.52,8.53,8.56,4.46,9.74,4.17,9.49,5.97,6.56,8.63,4.21,4.09,3.74,8.74,4.48,4.52,7.29,7.91,2.78,8.98
1984,6.02,8.12,4.57,8.40,4.00,4.28,8.97,6.38,10.08,5.92,4.76,3.28,8.92,3.75,4.19,8.68,10.02,3.54,8.63,8.66,4.58,9.80,4.13,9.56,6.04,6.62,8.73,4.47,4.21,3.72,9.03,4.44,4.69,7.49,8.01,2.74,9.13
1985,6.02,8.18,4.51,8.49,4.09,4.16,8.96,6.38,10.16,5.98,4.82,3.18,8.92,3.91,4.26,8.63,10.09,3.44,8.53,8.56,4.55,9.86,4.02,9.63,5.95,6.52,8.74,4.52,4.27,3.61,9.12,4.33,4.75,7.55,8.01,2.63,9.21
1986,6.26,8.42,4.79,8.59,4.24,4.49,9.23,6.63,10.41,6.13,5.03,3.46,9.17,4.05,4.43,8.89,10.34,3.74,8.83,8.86,4.81,10.11,4.35,9.87,6.25,6.83,8.96,4.68,4.45,3.92,9.21,4.67,4.94,7.73,8.24,2.94,9.41
1987,6.30,8.44,4.86,8.66,4.32,4.53,9.25,6.69,10.41,6.20,5.10,3.52,9.21,4.12,4.50,8.93,10.34,3.79,8.85,8.88,4.89,10.12,4.32,9.88,6.30,6.86,9.02,4.76,4.53,3.94,9.28,4.64,5.02,7.77,8.31,2.96,9.44
1988,6.48,8.55,5.03,8.78,4.40,4.78,9.46,6.82,10.55,6.30,5.13,3.84,9.40,4.17,4.58,9.16,10.49,4.08,9.12,9.15,5.03,10.27,4.69,10.02,6.53,7.12,9.21,4.84,4.62,4.27,9.41,4.99,5.06,7.89,8.49,3.30,9.56
1989,5.90,7.93,4.46,8.01,3.84,4.31,8.89,6.21,9.91,5.59,4.54,3.40,8.82,3.58,4.01,8.59,9.85,3.62,8.56,8.59,4.42,9.64,4.26,9.37,6.01,6.60,8.62,4.17,4.04,3.82,8.61,4.54,4.45,7.19,7.89,2.89,8.87
