Variable:,tasmin
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
1911,6.45,5.60,7.61,4.33,7.17,6.11,7.91,6.78,5.92,8.84,5.01,7.40,7.57,6.67,5.59,5.49,6.29,6.68,7.55,6.94,7.47,6.49,4.57,20.92,20.94,20.91,22.54,17.23,16.13,20.85,21.13,22.03,20.40
1912,5.83,4.81,7.17,3.63,6.64,5.39,7.44,6.10,5.27,8.20,4.24,6.87,6.96,6.11,4.89,4.78,5.82,6.12,6.95,6.40,6.84,5.79,3.86,21.37,21.39,21.20,22.85,17.45,16.36,21.03,21.31,22.20,20.58
1913,6.33,5.29,7.67,4.16,7.13,5.91,7.88,6.66,5.74,8.53,4.72,7.38,7.48,6.61,5.44,5.23,6.31,6.61,7.50,6.90,7.43,6.25,4.33,20.90,20.92,20.63,22.81,17.31,16.20,20.62,20.90,21.81,20.17
1914,5.91,4.95,7.13,3.70,6.77,5.49,7.61,6.19,5.38,8.32,4.37,7.05,7.10,6.12,4.92,4.90,5.79,6.41,7.04,6.60,6.90,5.84,3.92,21.03,21.03,20.92,22.93,17.36,16.26,20.80,21.08,21.97,20.35
1915,5.74,4.88,7.13,3.65,6.29,5.41,7.11,6.01,5.17,8.26,4.36,6.52,6.81,6.08,4.85,4.74,5.77,5.72,6.73,6.11,6.76,5.82,3.89,21.46,21.42,21.46,22.94,17.37,16.26,21.18,21.45,22.31,20.74
1916,6.08,5.37,7.41,3.93,6.65,5.75,7.44,6.34,5.53,8.59,4.74,6.91,7.16,6.35,5.17,5.15,6.03,6.18,7.08,6.52,7.11,6.13,4.23,21.15,21.05,21.02,22.58,17.19,16.07,20.85,21.12,22.00,20.40
1917,5.15,4.30,6.62,3.04,5.65,4.76,6.59,5.28,4.46,8.06,3.79,5.87,6.08,5.56,4.22,4.07,5.24,5.11,6.08,5.44,6.14,5.34,3.38,20.94,20.80,20.94,22.52,17.16,16.03,20.86,21.14,22.03,20.41
1918,6.00,5.25,7.29,3.85,6.68,5.62,7.57,6.26,5.42,8.29,4.61,6.95,7.09,6.11,5.14,5.04,5.83,6.26,7.14,6.51,7.15,5.97,4.11,21.10,21.00,20.95,22.69,17.25,16.14,20.92,21.19,22.07,20.47
1919,5.46,4.41,6.87,3.48,6.02,5.09,6.91,5.71,4.70,8.14,4.02,6.17,6.45,5.84,4.67,4.21,5.50,5.20,6.50,5.66,6.56,5.64,3.71,21.31,21.24,20.97,22.84,17.32,16.22,20.87,21.14,22.03,20.42
1920,6.21,5.56,7.28,4.11,6.79,5.88,7.60,6.36,5.61,9.23,5.01,7.00,7.17,6.43,5.23,5.29,5.96,6.24,7.18,6.52,7.14,6.65,4.68,21.23,21.15,20.84,22.68,17.23,16.12,20.76,21.04,21.94,20.31
1921,6.36,5.55,7.47,4.25,7.17,5.96,8.13,6.57,5.78,8.99,4.88,7.42,7.43,6.55,5.42,5.38,6.12,6.63,7.43,6.91,7.37,6.50,4.51,21.13,21.02,20.95,22.63,17.22,16.10,20.88,21.15,22.04,20.43
1922,5.38,4.60,6.70,3.28,5.98,5.04,6.88,5.53,4.82,8.34,3.98,6.25,6.44,5.72,4.39,4.41,5.35,5.41,6.27,5.82,6.28,5.52,3.55,21.13,21.00,20.83,22.46,17.15,16.02,20.75,21.03,21.94,20.30
1923,6.21,5.49,7.50,4.16,6.71,5.93,7.52,6.44,5.68,8.94,4.91,6.96,7.28,6.61,5.30,5.26,6.20,6.11,7.15,6.54,7.14,6.35,4.41,21.18,21.07,21.10,23.03,17.41,16.32,20.94,21.21,22.09,20.49
1924,5.77,4.98,7.07,3.60,6.42,5.47,7.32,5.94,5.22,8.53,4.44,6.67,6.87,6.08,4.73,4.83,5.73,5.86,6.73,6.22,6.67,5.83,3.96,21.17,21.07,21.40,22.88,17.33,16.23,21.10,21.37,22.22,20.66
1925,5.61,5.22,6.50,3.46,6.35,5.44,7.11,5.89,5.39,8.29,4.49,6.68,6.90,5.62,4.60,5.02,5.17,6.14,6.59,6.39,6.47,5.62,3.76,21.22,21.13,21.05,22.82,17.31,16.21,20.95,21.22,22.09,20.50
1926,6.31,5.56,7.58,4.19,6.96,5.94,7.80,6.46,5.79,8.98,4.96,7.21,7.38,6.57,5.35,5.41,6.21,6.58,7.25,6.81,7.26,6.41,4.48,21.56,21.50,21.52,23.30,17.60,16.52,21.29,21.55,22.40,20.85
1927,6.12,5.31,7.42,4.02,6.65,5.76,7.54,6.24,5.53,8.99,4.83,6.87,7.11,6.56,5.19,5.12,6.13,6.14,7.02,6.48,7.08,6.33,4.39,21.31,21.17,21.16,22.83,17.35,16.26,20.98,21.25,22.12,20.53
1928,6.45,5.48,7.77,4.47,6.93,6.07,7.83,6.64,5.79,9.18,5.07,7.14,7.44,6.90,5.64,5.33,6.49,6.30,7.39,6.72,7.48,6.68,4.71,21.31,21.19,21.22,22.93,17.40,16.29,21.03,21.30,22.17,20.58
1929,5.50,4.41,7.16,3.44,5.95,4.94,7.11,5.52,4.65,8.46,4.01,6.06,6.30,6.07,4.67,4.21,5.76,5.26,6.44,5.57,6.62,5.80,3.72,21.16,21.01,20.96,23.00,17.43,16.34,20.83,21.10,21.98,20.38
1930,6.62,5.56,8.12,4.58,7.17,6.17,7.84,6.82,5.99,9.13,5.14,7.40,7.64,7.08,5.81,5.47,6.76,6.69,7.59,6.98,7.70,6.69,4.73,21.28,21.17,21.11,22.70,17.27,16.17,20.96,21.23,22.11,20.51
1931,5.57,4.21,7.24,3.42,6.28,4.97,7.28,5.67,4.82,8.26,3.89,6.44,6.54,6.07,4.71,4.24,5.79,5.70,6.57,5.96,6.72,5.59,3.56,21.65,21.60,21.82,22.38,17.08,15.96,21.44,21.70,22.53,21.00
1932,5.92,4.87,7.35,3.76,6.65,5.43,7.59,6.08,5.32,8.45,4.33,6.86,6.98,6.30,5.05,4.82,6.01,6.25,6.91,6.45,7.00,5.90,3.93,21.56,21.49,21.71,22.58,17.21,16.09,21.42,21.69,22.54,20.98
1933,5.68,4.32,7.42,3.57,6.31,5.08,7.50,5.74,4.84,8.28,3.99,6.42,6.54,6.20,4.88,4.31,5.98,5.66,6.65,5.92,6.90,5.72,3.68,21.35,21.24,21.36,22.58,17.20,16.09,21.09,21.36,22.23,20.65
1934,6.34,5.54,7.63,4.15,7.08,5.99,7.95,6.55,5.95,8.87,4.91,7.35,7.52,6.51,5.44,5.47,6.20,6.82,7.34,7.03,7.36,6.26,4.33,21.26,21.14,21.22,22.44,17.13,16.00,21.04,21.32,22.22,20.59
1935,6.06,4.91,7.38,3.93,6.82,5.68,7.68,6.31,5.60,8.48,4.51,7.05,7.25,6.31,5.14,4.96,6.01,6.44,7.11,6.68,7.11,5.96,4.05,21.41,21.34,21.11,22.63,17.26,16.15,20.79,21.05,21.91,20.36
1936,6.19,5.30,7.49,4.13,6.78,5.84,7.66,6.38,5.65,8.69,4.82,7.00,7.25,6.49,5.33,5.19,6.15,6.38,7.12,6.63,7.21,6.27,4.33,21.46,21.41,21.39,22.75,17.30,16.19,21.04,21.30,22.14,20.61
1937,6.43,5.33,7.94,4.37,7.03,6.01,7.82,6.63,5.78,8.90,4.86,7.24,7.46,6.84,5.58,5.25,6.58,6.51,7.38,6.78,7.52,6.46,4.53,21.52,21.47,21.67,22.78,17.32,16.20,21.33,21.59,22.45,20.89
1938,5.98,4.83,7.30,3.85,6.83,5.50,7.80,6.17,5.38,8.58,4.25,7.05,7.08,6.22,5.07,4.83,5.92,6.44,7.04,6.60,7.04,5.96,3.99,21.45,21.39,21.23,22.79,17.33,16.22,20.88,21.15,22.01,20.45
1939,6.14,5.01,7.51,4.00,6.94,5.71,7.84,6.36,5.57,8.57,4.46,7.20,7.26,6.48,5.23,5.01,6.18,6.50,7.17,6.73,7.22,6.09,4.12,21.49,21.44,21.29,22.78,17.33,16.23,21.00,21.27,22.12,20.57
1940,5.28,3.86,7.07,3.24,5.88,4.67,7.15,5.35,4.31,7.93,3.49,5.99,6.08,5.89,4.52,3.79,5.65,5.00,6.27,5.35,6.58,5.40,3.34,21.76,21.76,22.05,22.38,17.08,15.96,21.68,21.95,22.79,21.25
1941,5.44,4.15,6.96,3.32,6.17,4.94,7.22,5.64,4.74,8.05,3.73,6.37,6.48,5.79,4.59,4.19,5.54,5.56,6.50,5.84,6.59,5.40,3.42,21.73,21.74,22.05,22.73,17.23,16.12,21.76,22.02,22.87,21.33
1942,5.79,4.46,7.51,3.78,6.20,5.28,7.30,5.84,4.83,8.80,4.18,6.31,6.58,6.46,5.00,4.31,6.14,5.39,6.68,5.76,6.98,6.05,4.06,21.73,21.74,22.12,22.63,17.18,16.06,21.77,22.04,22.87,21.34
1943,6.75,5.45,8.24,4.82,7.05,6.36,8.03,6.87,5.91,9.64,5.28,7.22,7.64,7.36,6.01,5.33,6.94,6.48,7.62,6.78,7.87,7.17,5.17,21.49,21.45,21.57,22.17,17.05,15.93,21.21,21.48,22.31,20.78
1944,6.12,4.86,7.50,4.10,6.65,5.74,7.68,6.34,5.46,8.69,4.56,6.86,7.14,6.56,5.32,4.85,6.18,6.21,7.09,6.45,7.22,6.27,4.30,21.60,21.59,21.62,22.76,17.17,16.05,21.35,21.62,22.48,20.91
1945,6.49,5.35,7.93,4.45,7.04,6.02,7.98,6.59,5.82,9.26,4.86,7.27,7.45,6.91,5.62,5.30,6.58,6.66,7.41,6.87,7.53,6.70,4.70,21.61,21.59,21.21,22.78,17.17,16.04,20.98,21.25,22.12,20.54
1946,6.11,5.20,7.47,4.06,6.50,5.75,7.37,6.20,5.43,8.87,4.81,6.71,7.03,6.71,5.25,4.98,6.25,6.08,6.92,6.30,7.13,6.42,4.44,21.49,21.45,21.39,22.62,17.19,16.06,21.08,21.35,22.19,20.65
1947,6.64,5.64,8.16,4.69,6.96,6.30,7.70,6.86,5.89,9.37,5.24,7.19,7.57,7.18,5.95,5.45,6.83,6.38,7.53,6.73,7.78,6.85,4.86,21.60,21.59,21.76,22.71,17.19,16.06,21.38,21.64,22.46,20.96
1948,6.43,5.55,7.87,4.32,7.00,6.03,7.89,6.59,5.80,9.03,4.94,7.27,7.41,6.83,5.54,5.39,6.48,6.57,7.41,6.83,7.50,6.54,4.56,21.44,21.38,21.75,22.83,17.22,16.10,21.32,21.58,22.39,20.89
1949,6.66,5.52,8.11,4.66,7.23,6.24,8.28,6.88,5.89,9.20,5.09,7.42,7.58,7.05,5.89,5.41,6.73,6.64,7.74,6.94,7.81,6.74,4.79,21.26,21.18,21.46,22.62,17.23,16.10,21.05,21.31,22.11,20.63
1950,6.46,5.50,7.86,4.48,6.84,6.09,7.72,6.63,5.78,9.21,5.08,7.07,7.38,6.99,5.59,5.35,6.55,6.27,7.36,6.67,7.46,6.69,4.77,21.31,21.25,21.39,22.55,17.06,15.92,20.87,21.12,21.93,20.45
1951,6.32,5.18,7.80,4.43,6.64,5.96,7.59,6.50,5.49,9.29,4.84,6.91,7.21,6.81,5.52,5.05,6.46,6.05,7.16,6.47,7.36,6.66,4.67,21.31,21.30,21.74,22.59,16.38,15.25,21.21,21.47,22.28,20.78
1952,6.30,5.01,8.09,4.48,6.47,5.89,7.51,6.42,5.35,9.30,4.73,6.69,7.07,7.04,5.59,4.92,6.76,5.71,7.10,6.21,7.40,6.56,4.56,21.45,21.46,21.65,22.58,16.72,15.57,21.21,21.47,22.28,20.78
1953,6.20,5.14,7.68,4.22,6.64,5.84,7.57,6.31,5.43,9.03,4.76,6.87,7.11,6.69,5.32,5.00,6.32,6.09,6.99,6.44,7.14,6.56,4.57,21.40,21.37,21.52,22.60,16.87,15.73,21.07,21.34,22.19,20.64
1954,5.90,4.48,7.56,3.99,6.42,5.48,7.44,6.15,4.99,8.58,4.23,6.58,6.79,6.40,5.16,4.45,6.15,5.58,6.90,6.00,7.03,5.99,4.06,21.07,21.05,21.44,22.52,16.91,15.78,20.83,21.09,21.90,20.40
1955,6.16,4.46,8.17,4.34,6.37,5.60,7.43,6.25,4.94,9.35,4.34,6.50,6.73,7.02,5.50,4.34,6.76,5.35,7.04,5.84,7.33,6.61,4.52,21.07,21.04,21.47,22.42,16.50,15.38,20.90,21.16,21.96,20.47
1956,5.49,3.94,7.14,3.63,5.99,5.08,6.96,5.69,4.63,8.31,3.72,6.07,6.33,6.05,4.80,4.01,5.74,5.16,6.46,5.55,6.63,5.72,3.69,20.96,20.92,21.58,22.20,16.08,14.98,21.15,21.41,22.20,20.72
1957,6.29,5.13,7.73,4.23,7.03,5.94,7.90,6.61,5.68,8.92,4.68,7.20,7.42,6.56,5.48,5.15,6.27,6.35,7.35,6.71,7.39,6.20,4.31,21.37,21.36,21.64,22.37,16.28,15.15,21.28,21.55,22.35,20.85
1958,6.61,5.22,8.26,4.76,7.08,6.31,8.00,6.94,5.72,9.27,4.95,7.24,7.55,7.06,5.97,5.14,6.81,6.20,7.61,6.67,7.83,6.61,4.74,21.67,21.65,22.15,22.61,16.69,15.57,21.82,22.09,22.91,21.39
1959,6.80,5.32,8.46,4.94,7.25,6.38,8.16,6.97,5.87,9.47,5.10,7.43,7.68,7.39,6.10,5.26,7.12,6.43,7.70,6.86,7.92,7.00,5.11,21.22,21.18,21.68,22.39,16.73,15.59,21.46,21.73,22.55,21.03
1960,6.54,5.18,8.11,4.63,7.09,6.18,7.95,6.84,5.79,9.25,4.80,7.30,7.56,6.99,5.81,5.22,6.73,6.40,7.50,6.79,7.66,6.54,4.63,21.24,21.19,21.73,22.31,16.77,15.65,21.33,21.59,22.38,20.90
1961,6.90,5.71,8.50,5.03,7.22,6.54,8.12,7.12,6.12,9.55,5.35,7.47,7.79,7.49,6.13,5.60,7.18,6.63,7.68,7.04,7.91,7.11,5.19,21.26,21.24,21.82,22.96,16.96,15.87,21.54,21.80,22.61,21.11
1962,5.46,3.89,7.27,3.57,5.81,4.91,6.72,5.58,4.43,8.72,3.58,5.95,6.19,6.30,4.70,3.86,5.96,5.01,6.28,5.40,6.49,5.92,3.77,21.34,21.31,21.76,22.46,16.45,15.34,21.43,21.70,22.52,21.00
1963,5.35,3.84,7.03,3.45,5.80,4.81,6.74,5.46,4.20,8.88,3.60,5.84,6.04,6.10,4.55,3.67,5.73,4.78,6.22,5.17,6.37,5.94,3.77,21.43,21.44,21.99,22.27,16.46,15.35,21.66,21.92,22.74,21.23
1964,6.27,5.12,7.74,4.37,6.60,5.91,7.44,6.34,5.41,9.27,4.84,6.81,7.10,6.95,5.38,4.95,6.48,5.88,6.94,6.31,7.12,6.87,4.83,21.55,21.59,21.73,22.19,16.46,15.34,21.36,21.63,22.46,20.93
1965,5.93,4.56,7.63,4.09,6.26,5.51,7.17,6.13,5.05,8.53,4.24,6.45,6.77,6.62,5.24,4.56,6.30,5.46,6.82,5.93,7.05,6.12,4.15,21.32,21.34,21.60,22.15,16.61,15.48,21.31,21.58,22.43,20.87
1966,6.72,5.47,8.26,4.75,7.22,6.36,8.09,6.98,5.96,9.13,5.12,7.36,7.66,7.25,5.94,5.48,6.90,6.34,7.68,6.83,7.82,6.88,4.96,21.59,21.59,21.94,22.73,16.76,15.66,21.67,21.94,22.82,21.22
1967,6.41,5.14,7.89,4.46,6.90,5.99,7.72,6.57,5.65,9.13,4.73,7.16,7.36,7.07,5.58,5.13,6.65,6.33,7.22,6.69,7.40,6.69,4.67,21.23,21.18,21.45,22.73,17.16,16.05,21.23,21.52,22.43,20.77
1968,6.24,5.02,7.84,4.20,6.83,5.76,7.68,6.41,5.40,9.04,4.60,6.99,7.06,6.86,5.39,4.95,6.52,5.99,7.21,6.37,7.30,6.45,4.43,21.28,21.20,21.38,22.24,16.33,15.22,21.05,21.32,22.15,20.61
1969,6.04,4.68,7.56,3.99,6.68,5.55,7.58,6.27,5.27,8.82,4.29,6.89,7.04,6.51,5.18,4.71,6.21,6.06,7.08,6.39,7.14,6.15,4.19,21.74,21.69,21.92,22.92,17.30,16.19,21.61,21.87,22.65,21.20
1970,6.21,4.84,7.69,4.19,6.73,5.77,7.69,6.43,5.51,8.96,4.46,6.94,7.22,6.74,5.32,4.91,6.38,6.09,7.16,6.54,7.22,6.40,4.40,21.42,21.35,21.86,22.68,17.13,16.01,21.45,21.71,22.48,21.03
1971,5.98,4.59,7.48,3.91,6.53,5.42,7.47,6.06,5.16,8.90,4.23,6.88,6.99,6.57,5.01,4.52,6.23,6.22,6.85,6.46,6.90,6.31,4.27,21.27,21.20,21.34,21.97,16.47,15.35,20.80,21.06,21.85,20.38
1972,5.93,4.60,7.32,3.93,6.41,5.41,7.28,6.01,5.10,8.98,4.30,6.70,6.86,6.54,5.01,4.54,6.13,5.93,6.73,6.25,6.84,6.41,4.37,21.73,21.69,21.84,22.25,16.94,15.80,21.31,21.57,22.37,20.88
1973,6.00,4.83,7.40,3.92,6.48,5.56,7.44,6.12,5.33,8.80,4.46,6.78,7.03,6.46,4.99,4.81,6.09,6.11,6.85,6.45,6.90,6.30,4.33,21.84,21.78,21.83,22.24,16.91,15.77,21.44,21.70,22.50,21.01
1974,6.53,5.72,7.76,4.53,6.97,6.32,7.78,6.75,6.13,8.87,5.32,7.30,7.62,6.85,5.62,5.73,6.48,6.61,7.31,6.99,7.44,6.63,4.84,21.40,21.36,21.68,21.81,16.09,14.97,21.30,21.56,22.35,20.87
1975,6.45,5.61,7.76,4.36,6.93,6.16,7.86,6.63,5.95,8.79,5.16,7.21,7.52,6.73,5.47,5.53,6.41,6.50,7.32,6.91,7.37,6.57,4.74,21.39,21.36,21.52,21.99,16.70,15.56,21.14,21.40,22.21,20.71
1976,6.52,5.25,7.89,4.53,7.03,6.24,7.86,6.80,5.95,8.86,5.03,7.35,7.65,6.81,5.65,5.35,6.50,6.67,7.42,7.04,7.55,6.56,4.79,21.47,21.42,21.56,22.12,16.98,15.85,21.22,21.49,22.31,20.79
1977,6.62,5.68,7.91,4.63,7.09,6.38,7.87,6.83,6.12,9.18,5.32,7.38,7.67,6.91,5.73,5.66,6.55,6.70,7.45,7.06,7.59,6.73,4.91,21.76,21.75,21.95,22.56,17.76,16.62,21.54,21.80,22.62,21.11
1978,5.98,4.85,7.55,3.92,6.59,5.52,7.50,6.11,5.25,8.44,4.53,6.77,6.87,6.41,5.11,4.78,6.11,5.93,6.92,6.26,7.01,6.06,4.22,21.80,21.76,22.10,22.43,17.96,16.81,21.62,21.89,22.71,21.19
1979,6.32,5.26,7.89,4.48,6.42,6.08,7.26,6.49,5.58,9.14,5.07,6.56,7.13,6.89,5.59,5.14,6.58,5.67,7.05,6.24,7.32,6.66,4.80,21.95,21.92,22.22,22.43,17.91,16.76,21.82,22.09,22.91,21.39
1980,5.90,4.83,7.25,3.82,6.52,5.47,7.44,6.04,5.24,8.42,4.45,6.75,6.90,6.28,4.96,4.79,5.92,5.98,6.85,6.31,6.90,6.12,4.20,21.94,21.91,22.42,22.43,17.96,16.81,22.01,22.28,23.10,21.57
1981,6.54,5.31,8.06,4.50,7.11,6.14,8.02,6.92,5.89,8.75,4.93,7.22,7.57,6.86,5.82,5.35,6.60,6.34,7.71,6.81,7.83,6.47,4.60,21.56,21.44,22.52,22.24,17.85,16.70,22.03,22.30,23.12,21.60
1982,7.10,5.78,8.83,5.25,7.39,6.65,8.28,7.28,6.17,9.67,5.54,7.56,7.89,7.76,6.47,5.65,7.46,6.73,7.99,7.12,8.31,7.31,5.42,21.40,21.33,22.10,22.44,17.84,16.71,21.63,21.90,22.73,21.20
1983,6.82,5.79,8.32,4.80,7.36,6.43,8.27,7.02,6.09,9.16,5.41,7.51,7.74,7.22,6.03,5.64,6.89,6.76,7.78,7.08,7.95,6.95,5.05,21.59,21.52,22.63,22.58,17.39,16.26,22.10,22.37,23.19,21.67
1984,6.20,5.04,7.63,4.10,6.85,5.77,7.72,6.42,5.58,8.56,4.71,7.03,7.16,6.48,5.34,5.07,6.16,6.28,7.23,6.61,7.33,6.27,4.39,21.04,20.95,22.01,21.90,17.11,15.98,21.56,21.83,22.67,21.13
1985,5.69,4.44,7.32,3.61,6.17,5.07,7.13,5.68,4.71,9.09,4.09,6.26,6.35,6.33,4.78,4.26,5.93,5.39,6.52,5.71,6.68,6.32,4.13,21.15,21.12,21.92,22.06,17.23,16.09,21.42,21.69,22.51,20.99
1986,6.13,4.94,7.86,4.25,6.23,5.63,7.08,6.09,5.15,9.33,4.65,6.41,6.73,6.91,5.35,4.74,6.51,5.61,6.77,6.00,7.12,6.89,4.75,21.46,21.46,21.99,22.16,16.96,15.82,21.54,21.81,22.66,21.10
1987,6.29,5.22,7.95,4.29,6.62,5.82,7.53,6.36,5.38,9.41,4.84,6.72,6.97,6.91,5.51,4.97,6.53,5.82,7.10,6.24,7.34,6.79,4.68,22.05,22.02,22.68,22.71,17.26,16.12,22.34,22.60,23.39,21.92
1988,7.09,6.23,8.49,5.03,7.51,6.78,8.35,7.27,6.54,9.47,5.82,7.74,8.07,7.41,6.28,6.17,7.06,7.09,7.94,7.46,8.17,7.29,5.40,21.59,21.56,22.40,22.60,17.29,16.15,22.09,22.36,23.18,21.66
1989,7.11,5.95,8.88,5.04,7.69,6.47,8.56,7.14,6.26,9.12,5.48,7.90,7.88,7.74,6.27,5.77,7.48,7.22,8.00,7.44,8.22,7.24,5.29,21.29,21.22,21.94,22.11,17.28,16.17,21.56,21.83,22.70,21.12
1990,7.28,6.07,8.92,5.21,7.86,6.77,8.73,7.42,6.53,9.53,5.68,8.04,8.21,7.75,6.49,5.98,7.50,7.31,8.26,7.62,8.48,7.31,5.44,21.57,21.54,22.28,22.46,17.00,15.87,21.92,22.19,23.04,21.48
1991,6.50,5.16,8.17,4.63,6.89,6.06,7.77,6.63,5.59,8.81,4.92,7.10,7.33,7.16,5.79,4.99,6.83,6.26,7.35,6.65,7.65,6.79,4.83,21.42,21.36,22.29,22.33,17.42,16.28,21.95,22.22,23.06,21.51
1992,6.97,6.13,8.37,5.01,7.30,6.66,8.10,7.04,6.42,9.56,5.68,7.59,7.95,7.44,6.10,5.95,7.06,6.99,7.69,7.37,7.95,7.21,5.28,21.33,21.21,22.19,22.42,17.19,16.05,21.83,22.10,22.92,21.40
1993,6.67,5.65,8.05,4.72,7.13,6.33,7.95,6.86,6.04,9.27,5.20,7.35,7.65,7.13,5.85,5.51,6.78,6.55,7.56,6.97,7.74,6.91,4.93,21.26,21.15,22.39,22.28,17.00,15.86,22.05,22.32,23.14,21.62
1994,7.95,7.01,9.44,6.11,8.16,7.72,8.99,8.17,7.31,10.21,6.62,8.35,8.85,8.44,7.27,6.84,8.11,7.55,8.77,8.05,9.12,8.11,6.25,21.47,21.35,22.13,22.67,17.30,16.18,21.67,21.94,22.76,21.23
1995,7.33,6.00,8.91,5.35,7.82,6.91,8.67,7.54,6.65,9.48,5.66,8.01,8.24,7.84,6.54,6.03,7.56,7.24,8.33,7.64,8.51,7.37,5.47,21.86,21.81,22.32,22.55,17.19,16.07,22.01,22.28,23.13,21.56
1996,6.42,4.76,8.31,4.62,6.58,5.80,7.47,6.38,5.26,9.43,4.61,6.72,6.90,7.50,5.75,4.63,7.14,5.76,7.15,6.19,7.50,7.11,4.91,21.84,21.75,22.32,22.36,16.90,15.81,22.03,22.30,23.15,21.59
1997,7.43,5.92,9.26,5.60,7.64,6.84,8.59,7.49,6.38,10.08,5.68,7.84,8.06,8.33,6.79,5.76,8.03,7.08,8.21,7.42,8.60,7.84,5.79,21.99,21.94,22.37,22.73,17.22,16.10,22.13,22.40,23.24,21.69
1998,7.09,5.93,8.57,5.05,7.66,6.67,8.52,7.27,6.43,9.48,5.49,7.91,8.03,7.54,6.25,5.91,7.24,7.21,8.02,7.52,8.19,7.20,5.25,22.38,22.32,23.00,22.95,17.64,16.53,22.76,23.03,23.88,22.32
1999,7.58,6.23,8.99,5.64,8.04,7.29,8.91,7.81,6.97,9.79,6.01,8.36,8.58,8.00,6.80,6.30,7.68,7.69,8.54,8.05,8.76,7.68,5.78,21.77,21.71,22.47,22.55,17.01,15.90,22.21,22.48,23.31,21.78
