Variable:,tasmin
,"St. Kitts and Nevis","Christ Church Nichola Town","Saint Anne Sandy Point","Saint George Basseterre","Saint George Gingerland","Saint James Windward","Saint John Capisterre","Saint John Figtree","Saint Mary Cayon","Saint Paul Capisterre","Saint Paul Charlestown","Saint Peter Basseterre","Saint Thomas Lowland","Saint Thomas Middle Island","Trinity Palmetto Point"
1934,19.90,19.90,19.90,19.90,19.90,19.90,19.90,19.90,19.90,19.90,19.90,19.90,19.90,19.90,19.90
1935,19.97,19.97,19.97,19.97,19.97,19.97,19.97,19.97,19.97,19.97,19.97,19.97,19.97,19.97,19.97
1936,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24
1937,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57
1938,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13
1939,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10
1940,20.87,20.87,20.87,20.87,20.87,20.87,20.87,20.87,20.87,20.87,20.87,20.87,20.87,20.87,20.87
1941,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83
1942,20.95,20.95,20.95,20.95,20.95,20.95,20.95,20.95,20.95,20.95,20.95,20.95,20.95,20.95,20.95
1943,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44
1944,20.38,20.38,20.38,20.38,20.38,20.38,20.38,20.38,20.38,20.38,20.38,20.38,20.38,20.38,20.38
1945,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01
1946,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22
1947,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63
1948,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64
1949,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34
1950,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39
1951,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65
1952,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63
1953,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47
1954,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40
1955,20.41,20.41,20.41,20.41,20.41,20.41,20.41,20.41,20.41,20.41,20.41,20.41,20.41,20.41,20.41
1956,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49
1957,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59
1958,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13
1959,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55
1960,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
1961,20.62,20.62,20.62,20.62,20.62,20.62,20.62,20.62,20.62,20.62,20.62,20.62,20.62,20.62,20.62
1962,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67
1963,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89
1964,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64
1965,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48
1966,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88
1967,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34
1968,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28
1969,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86
1970,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78
1971,20.18,20.18,20.18,20.18,20.18,20.18,20.18,20.18,20.18,20.18,20.18,20.18,20.18,20.18,20.18
1972,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72
1973,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72,20.72
1974,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44
1975,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33
1976,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32
1977,20.73,20.73,20.73,20.73,20.73,20.73,20.73,20.73,20.73,20.73,20.73,20.73,20.73,20.73,20.73
1978,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85
1979,20.96,20.96,20.96,20.96,20.96,20.96,20.96,20.96,20.96,20.96,20.96,20.96,20.96,20.96,20.96
1980,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35
1981,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44
1982,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03
1983,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60
1984,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97
1985,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88,20.88
1986,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98
1987,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58
1988,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30
1989,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78
1990,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13
1991,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18
1992,21.14,21.14,21.14,21.14,21.14,21.14,21.14,21.14,21.14,21.14,21.14,21.14,21.14,21.14,21.14
1993,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18,21.18
1994,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03
1995,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21
1996,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24
1997,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33
1998,21.93,21.93,21.93,21.93,21.93,21.93,21.93,21.93,21.93,21.93,21.93,21.93,21.93,21.93,21.93
1999,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37
2000,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21
2001,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35
2002,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60
2003,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71
2004,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42
2005,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58
2006,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37,21.37
2007,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35
2008,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04
2009,21.48,21.48,21.48,21.48,21.48,21.48,21.48,21.48,21.48,21.48,21.48,21.48,21.48,21.48,21.48
2010,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75
2011,21.31,21.31,21.31,21.31,21.31,21.31,21.31,21.31,21.31,21.31,21.31,21.31,21.31,21.31,21.31
2012,21.51,21.51,21.51,21.51,21.51,21.51,21.51,21.51,21.51,21.51,21.51,21.51,21.51,21.51,21.51
2013,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54
2014,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62
2015,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78
2016,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74
2017,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61
2018,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28
2019,21.70,21.70,21.70,21.70,21.70,21.70,21.70,21.70,21.70,21.70,21.70,21.70,21.70,21.70,21.70
2020,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71
